Season,OfficialID,Rank,RankInConference,RankInDivision,GamesPlayed,GamesBack,ScoreDiff,ScoreFor,ScoreAgainst,RankInWildcard,Streak,Last10,ClinchIndicator,ConferenceScoreFor,ConferenceScoreAgainst,DivisionScoreFor,DivisionScoreAgainst,City,Mascot,EarnedPoints,Wins,Losses,Ties,WinPct,OTWins,OTLosses,OTTies,ShootoutWins,ShootoutLosses,ConferenceWins,ConferenceLosses,ConferenceTies,ConferenceWinPct,DivisionWins,DivisionLosses,DivisionTies,DivisionWinPct,RoadEarnedPoints,RoadWins,RoadLosses,RoadTies,RoadWinPct,RoadOTWins,RoadOTLosses,RoadOTTies,RoadShootoutWins,RoadShootoutLosses,RoadConferenceWins,RoadConferenceLosses,RoadConferenceTies,RoadConferenceWinPct,RoadDivisionWins,RoadDivisionLosses,RoadDivisionTies,RoadDivisionWinPct,HomeEarnedPoints,HomeWins,HomeLosses,HomeTies,HomeWinPct,HomeOTWins,HomeOTLosses,HomeOTTies,HomeShootoutWins,HomeShootoutLosses,HomeConferenceWins,HomeConferenceLosses,HomeConferenceTies,HomeConferenceWinPct,HomeDivisionWins,HomeDivisionLosses,HomeDivisionTies,HomeDivisionWinPct,HockeyOTAndSOLosses,HockeyRegulationAndOTWins,HockeyRoadOTAndSOLosses,HockeyHomeOTAndSOLosses
2023,1,5,0,0,10,3.0,-48,146,194,0,,,y,146,194,72,98,Arlington,Renegades,0,4,6,0,0.4,0,0,0,0,0,4,6,0,0.4,3,3,0,0.5,0,2,3,0,0.4,0,0,0,0,0,2,3,0,0.4,2,1,0,0.6666666666666666,0,2,3,0,0.4,0,0,0,0,0,2,3,0,0.4,1,2,0,0.3333333333333333,0,0,0,0
2023,8,1,0,0,10,0.0,58,298,240,0,,,z,298,240,168,123,D.C.,Defenders,0,9,1,0,0.9,0,0,0,0,0,9,1,0,0.9,6,0,0,1.0,0,4,1,0,0.8,0,0,0,0,0,4,1,0,0.8,3,0,0,1.0,0,5,0,0,1.0,0,0,0,0,0,5,0,0,1.0,3,0,0,1.0,0,0,0,0
2023,2,4,0,0,10,0.0,65,247,182,0,,,z,247,182,164,79,Houston,Roughnecks,0,7,3,0,0.7,0,0,0,0,0,7,3,0,0.7,6,0,0,1.0,0,3,2,0,0.6,0,0,0,0,0,3,2,0,0.6,3,0,0,1.0,0,4,1,0,0.8,0,0,0,0,0,4,1,0,0.8,3,0,0,1.0,0,0,0,0
2023,4,8,0,0,10,6.0,-106,204,310,0,,,,204,310,88,160,Orlando,Guardians,0,1,9,0,0.1,0,0,0,0,0,1,9,0,0.1,0,6,0,0.0,0,0,5,0,0.0,0,0,0,0,0,0,5,0,0.0,0,3,0,0.0,0,1,4,0,0.2,0,0,0,0,0,1,4,0,0.2,0,3,0,0.0,0,0,0,0
2023,3,6,0,0,10,4.0,-14,169,183,0,,,,169,183,108,95,San Antonio,Brahmas,0,3,7,0,0.3,0,0,0,0,0,3,7,0,0.3,3,3,0,0.5,0,2,3,0,0.4,0,0,0,0,0,2,3,0,0.4,2,1,0,0.6666666666666666,0,1,4,0,0.2,0,0,0,0,0,1,4,0,0.2,1,2,0,0.3333333333333333,0,0,0,0
2023,6,2,0,0,10,2.0,66,243,177,0,,,x,243,177,157,123,Seattle,Sea Dragons,0,7,3,0,0.7,0,0,0,0,0,7,3,0,0.7,3,3,0,0.5,0,4,1,0,0.8,0,0,0,0,0,4,1,0,0.8,2,1,0,0.6666666666666666,0,3,2,0,0.6,0,0,0,0,0,3,2,0,0.6,1,2,0,0.3333333333333333,0,0,0,0
2023,5,3,0,0,10,2.0,47,249,202,0,,,,249,202,130,133,St. Louis,Battlehawks,0,7,3,0,0.7,0,0,0,0,0,7,3,0,0.7,3,3,0,0.5,0,4,1,0,0.8,0,0,0,0,0,4,1,0,0.8,2,1,0,0.6666666666666666,0,3,2,0,0.6,0,0,0,0,0,3,2,0,0.6,1,2,0,0.3333333333333333,0,0,0,0
2023,7,7,0,0,10,7.0,-68,184,252,0,,,,184,252,82,158,Vegas,Vipers,0,2,8,0,0.2,0,0,0,0,0,2,8,0,0.2,0,6,0,0.0,0,0,5,0,0.0,0,0,0,0,0,0,5,0,0.0,0,3,0,0.0,0,2,3,0,0.4,0,0,0,0,0,2,3,0,0.4,0,3,0,0.0,0,0,0,0
