Season,OfficialID,Rank,RankInConference,RankInDivision,GamesPlayed,GamesBack,ScoreDiff,ScoreFor,ScoreAgainst,RankInWildcard,Streak,Last10,ClinchIndicator,ConferenceScoreFor,ConferenceScoreAgainst,DivisionScoreFor,DivisionScoreAgainst,City,Mascot,EarnedPoints,Wins,Losses,Ties,WinPct,OTWins,OTLosses,OTTies,ShootoutWins,ShootoutLosses,ConferenceWins,ConferenceLosses,ConferenceTies,ConferenceWinPct,DivisionWins,DivisionLosses,DivisionTies,DivisionWinPct,RoadEarnedPoints,RoadWins,RoadLosses,RoadTies,RoadWinPct,RoadOTWins,RoadOTLosses,RoadOTTies,RoadShootoutWins,RoadShootoutLosses,RoadConferenceWins,RoadConferenceLosses,RoadConferenceTies,RoadConferenceWinPct,RoadDivisionWins,RoadDivisionLosses,RoadDivisionTies,RoadDivisionWinPct,HomeEarnedPoints,HomeWins,HomeLosses,HomeTies,HomeWinPct,HomeOTWins,HomeOTLosses,HomeOTTies,HomeShootoutWins,HomeShootoutLosses,HomeConferenceWins,HomeConferenceLosses,HomeConferenceTies,HomeConferenceWinPct,HomeDivisionWins,HomeDivisionLosses,HomeDivisionTies,HomeDivisionWinPct,HockeyOTAndSOLosses,HockeyRegulationAndOTWins,HockeyRoadOTAndSOLosses,HockeyHomeOTAndSOLosses
2023,1,5,0,0,8,1.0,-30,111,141,0,,,,111,141,63,73,Arlington,Renegades,0,4,4,0,0.5,0,0,0,0,0,4,4,0,0.5,3,2,0,0.6,0,2,2,0,0.5,0,0,0,0,0,2,2,0,0.5,2,1,0,0.6666666666666666,0,2,2,0,0.5,0,0,0,0,0,2,2,0,0.5,1,1,0,0.5,0,0,0,0
2023,8,1,0,0,7,0.0,54,207,153,0,,,,207,153,134,90,D.C.,Defenders,0,6,1,0,0.8571428571428571,0,0,0,0,0,6,1,0,0.8571428571428571,5,0,0,1.0,0,2,1,0,0.6666666666666666,0,0,0,0,0,2,1,0,0.6666666666666666,2,0,0,1.0,0,4,0,0,1.0,0,0,0,0,0,4,0,0,1.0,3,0,0,1.0,0,0,0,0
2023,2,4,0,0,8,0.0,42,194,152,0,,,y,194,152,139,70,Houston,Roughnecks,0,5,3,0,0.625,0,0,0,0,0,5,3,0,0.625,5,0,0,1.0,0,2,2,0,0.5,0,0,0,0,0,2,2,0,0.5,2,0,0,1.0,0,3,1,0,0.75,0,0,0,0,0,3,1,0,0.75,3,0,0,1.0,0,0,0,0
2023,4,8,0,0,8,4.0,-79,153,232,0,,,,153,232,65,135,Orlando,Guardians,0,1,7,0,0.125,0,0,0,0,0,1,7,0,0.125,0,5,0,0.0,0,0,3,0,0.0,0,0,0,0,0,0,3,0,0.0,0,2,0,0.0,0,1,4,0,0.2,0,0,0,0,0,1,4,0,0.2,0,3,0,0.0,0,0,0,0
2023,3,7,0,0,8,3.0,-15,116,131,0,,,,116,131,83,72,San Antonio,Brahmas,0,2,6,0,0.25,0,0,0,0,0,2,6,0,0.25,2,3,0,0.4,0,2,3,0,0.4,0,0,0,0,0,2,3,0,0.4,2,1,0,0.6666666666666666,0,0,3,0,0.0,0,0,0,0,0,0,3,0,0.0,0,2,0,0.0,0,0,0,0
2023,6,3,0,0,7,1.0,30,152,122,0,,,,152,122,66,68,Seattle,Sea Dragons,0,5,2,0,0.7142857142857143,0,0,0,0,0,5,2,0,0.7142857142857143,1,2,0,0.3333333333333333,0,3,1,0,0.75,0,0,0,0,0,3,1,0,0.75,1,1,0,0.5,0,2,1,0,0.6666666666666666,0,0,0,0,0,2,1,0,0.6666666666666666,0,1,0,0.0,0,0,0,0
2023,5,2,0,0,8,0.5,40,184,144,0,,,,184,144,118,103,St. Louis,Battlehawks,0,6,2,0,0.75,0,0,0,0,0,6,2,0,0.75,3,2,0,0.6,0,4,1,0,0.8,0,0,0,0,0,4,1,0,0.8,2,1,0,0.6666666666666666,0,2,1,0,0.6666666666666666,0,0,0,0,0,2,1,0,0.6666666666666666,1,1,0,0.5,0,0,0,0
2023,7,6,0,0,8,4.5,-42,154,196,0,,,,154,196,73,130,Vegas,Vipers,0,2,6,0,0.25,0,0,0,0,0,2,6,0,0.25,0,5,0,0.0,0,0,3,0,0.0,0,0,0,0,0,0,3,0,0.0,0,2,0,0.0,0,2,3,0,0.4,0,0,0,0,0,2,3,0,0.4,0,3,0,0.0,0,0,0,0
