official_id,team_id,team_abv,team_name,team_city,team_state,team_nickname,Division,team_primary_color,team_secondary_color,team_third_color,team_home_color,team_home_num_outline,team_home_num_color,team_away_color,team_away_num_outline,team_away_num_color,team_rosters_url,team_full_logo_url,team_logo_url,team_wordmark_url
1,arlington,ARL,Arlington Renegades,Arlington,TX,Renegades,South,#6AB3E8,#000000,#FFFFFF,#6AB3E8,#010103,#962835,#FFFFFF,#962835,#729AC9,https://www.xfl.com/teams/arlington/roster,https://api.xfl.com/game/w/images/xfl/logos/teamname/ARL.png,"https://res.cloudinary.com/xfl-production/image/upload/c_thumb,w_100,g_face/v1671555934/xfl-prod/logos/logo-arlington-renegades-500x500.png", 
2,houston,HOU,Houston Roughnecks,Houston,TX,Roughnecks,South,#0C2340,#C00230,#FFFFFF,#0E2240,#FFFFFF,#C10130,#FFFFFF,#0E2240,#C10130,https://www.xfl.com/teams/houston/roster,https://api.xfl.com/game/w/images/xfl/logos/teamname/HOU.png,"https://res.cloudinary.com/xfl-production/image/upload/c_thumb,w_100,g_face/v1671555934/xfl-prod/logos/logo-houston-roughnecks-500x500.png", 
3,san-antonio,SA,San Antonio Brahamas,San Antonio,TX,Brahmas,South,#2D3637,#FCE301,#A2ABAF,#2E363A,#FCE301,#FFFFFF,#FCE301,#2E363A,#2E363A,https://www.xfl.com/teams/san-antonio/roster,https://api.xfl.com/game/w/images/xfl/logos/teamname/SA.png,"https://assets.xfl.com/image/upload/c_fill,dpr_1.0,f_webp,g_auto,q_auto,w_480/v1/xfl-prod/logos/team-logos-wide-sanantonio_3x", 
4,orlando,ORL,Orlando Guardians,Orlando,FL,Guardians,South,#192B1E,#9CFF01,#A2A6AB,#192B1E,#9EFE00,#9EFE00,#FFFFFF,#9EFE00,#192B1E,https://www.xfl.com/teams/orlando/roster,https://api.xfl.com/game/w/images/xfl/logos/teamname/ORL.png,"https://res.cloudinary.com/xfl-production/image/upload/c_thumb,w_100,g_face/v1671555934/xfl-prod/logos/logo-orlando-guardians-500x500.png", 
5,st-louis,STL,St. Louis BattleHawks,St. Louis,MO,BattleHawks,North,#022673,#A1AAAC,#FCFFFF,#002574,#A1AAAC,#FFFFFF,#A1AAAC,#022851,#1F3F84,https://www.xfl.com/teams/st-louis/roster,https://api.xfl.com/game/w/images/xfl/logos/teamname/STL.png,"https://assets.xfl.com/image/upload/c_fill,dpr_1.0,f_webp,g_auto,q_auto,w_480/v1/xfl-prod/logos/team-logos-wide-stlouis_3x", 
6,seattle,SEA,Seattle Sea Dragons,Seattle,WA,Sea Dragons,North,#DB4405,#0C2340,#02843F,#DB4405,#0D233E,#FFFFFF,#FFFFFF,#02843F,#0D2440,https://www.xfl.com/teams/seattle/roster,https://api.xfl.com/game/w/images/xfl/logos/teamname/SEA.png,"https://assets.xfl.com/image/upload/c_fill,dpr_1.0,f_webp,g_auto,q_auto,w_480/v1/xfl-prod/logos/team-logos-wide-seattle_3x", 
7,las-vegas,VGS,Vegas Vipers,Las Vegas,NV,Vipers,North,#000300,#FF0602,#FFFFFF,#000300,#A68C98,#FF0602,#FFFFFF,#FF0602,#FF0602,https://www.xfl.com/teams/las-vegas/roster,https://api.xfl.com/game/w/images/xfl/logos/teamname/VGS.png,"https://res.cloudinary.com/xfl-production/image/upload/c_thumb,w_100,g_face/v1671555935/xfl-prod/logos/logo-vegas-vipers-500x500.png", 
8,washington-dc,DC,DC Defenders,Washington,DC,Defenders,North,#C9102E,#FFFFFF,#A1AAAC,#C7112E,#FFFFFF,#A1AAAC,#FFFFFF,#C7112E,#B34E43,https://www.xfl.com/teams/washington-dc/roster,https://api.xfl.com/game/w/images/xfl/logos/teamname/DC.png,"https://assets.xfl.com/image/upload/c_fill,dpr_1.0,f_webp,g_auto,q_auto,w_480/v1/xfl-prod/logos/team-logos-wide-orlando_3x", 
