Season,game_id,OfficialID,PlaysPerGame,Points,DefPointsAgainst,YardsPerGame,DefYardsAgainst,PassYardsPerGame,DefPassYardsAgainst,RushYardsPerGame,DefRushYardsAgainst,DriveStartYardlineAvg,FirstDowns,FirstDownsByPass,FirstDownsByPenalty,FirstDownsByRush,FirstDownPercent,FirstDownPercentOfPasses,FirstDownPercentOfRushes,ThirdDownConv,ThirdDownAtt,ThirdDownPercent,FourthDownConv,FourthDownAtt,FourthDownPercent,Penalties,PenaltyYards,PenaltiesOffensive,PenaltyYardsOffensive,PenaltiesDefensive,PenaltyYardsDefensive,Turnovers,TotalTD,OffTD,TOPSeconds,TOPStrfTime,PassComp,PassAtt,PassCompPercent,PassYards,PassTD,PassINT,PassYardsLong,PassYardsLongTD,PassYardsPerAtt,PassYardsPerComp,PassYardsAfterCatch,PassYardsAfterCatchAvg,RecDropped,Sacked,SackedYards,SackedYardsAvg,Pass20YdPlays,Pass40YdPlays,RushAtt,RushTD,RushYards,RushYardsAvg,RushYardsLong,RushYardsLongTD,Rush20YdPlays,Rush40YdPlays,PAT1PtAtt,PAT1PtConv,PAT1PtPct,PAT1PtAttPass,PAT1PtConvPass,PAT1PtPctPass,PAT1PtAttRush,PAT1PtConvRush,PAT1PtPctRush,PAT2PtAtt,PAT2PtConv,PAT2PtPct,PAT2PtAttPass,PAT2PtConvPass,PAT2PtPctPass,PAT2PtAttRush,PAT2PtConvRush,PAT2PtPctRush,PAT3PtAtt,PAT3PtConv,PAT3PtPct,PAT3PtConvPass,PAT3PtAttPass,PAT3PtPctPass,PAT3PtConvRush,PAT3PtAttRush,PAT3PtPctRush,Fumbles,FumblesLost,DefTackles,DefTacklesForLoss,DefQBHits,DefSacks,DefSackYards,DefSackYardsAvg,DefINT,DefINTReturnYards,DefINTReturnYardsAvg,DefINTReturnTD,DefINTReturnYardsLong,DefPassesDefended,DefFumblesForced,DefFumblesRecovered,Punts,PuntGrossYards,PuntGrossYardsAvg,PuntGrossYardsLong,PuntTouchbacks,PuntInside20,FGAtt,FGMade,FGLong,KickRetReturns,KickRetYards,KickRetYardsAvg,KickRetTD,KickRetYardsLong,KickRetFairCatches,PuntRetReturns,PuntRetYards,PuntRetYardsAvg,PuntRetTD,PuntRetYardsLong,PuntRetFairCatches
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,2,65.0,33.0,12.0,337.0,356.0,256.0,278.0,81.0,78.0,,16.0,12.0,1.0,3.0,0.2461538461538461,0.2857142857142857,0.15,5.0,15.0,0.3333333333333333,1.0,1.0,1.0,3.0,35.0,1.0,15.0,2.0,20.0,2.0,4.0,4.0,42.0,31:42,26.0,42.0,0.6190476190476191,256.0,2.0,2.0,46.0,True,6.095238095238095,9.846153846153848,28.0,1.0769230769230769,,3.0,16.0,5.333333333333333,2.0,1.0,20.0,2.0,81.0,4.05,27.0,True,1.0,,4.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,47.0,8.0,39.0,7.0,42.0,6.0,3.0,42.0,14.0,,27.0,12.0,,1.0,4.0,121.0,30.25,41.0,,2.0,3.0,3.0,33.0,2.0,48.0,24.0,,24.0,,4.0,39.0,9.75,,15.0,
2023,FOOTBALL_XFL_2023_2_18_ORL@HOU,4,62.0,12.0,33.0,314.0,353.0,236.0,272.0,78.0,81.0,,14.0,9.0,,5.0,0.2258064516129032,0.2307692307692307,0.3125,5.0,15.0,0.3333333333333333,,3.0,,3.0,20.0,2.0,15.0,1.0,5.0,4.0,2.0,2.0,48.0,28:48,27.0,39.0,0.6923076923076923,236.0,2.0,3.0,51.0,True,6.051282051282051,8.74074074074074,23.0,0.8518518518518519,,7.0,42.0,6.0,5.0,1.0,16.0,,78.0,4.875,12.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,1.0,41.0,5.0,42.0,3.0,16.0,5.333333333333333,2.0,22.0,11.0,,22.0,16.0,,,5.0,202.0,40.4,48.0,,,1.0,,,8.0,95.0,11.875,,15.0,,2.0,8.0,4.0,,8.0,2.0
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,1,59.0,22.0,20.0,246.0,274.0,163.0,249.0,83.0,25.0,,13.0,9.0,1.0,3.0,0.2203389830508474,0.36,0.0967741935483871,4.0,14.0,0.2857142857142857,1.0,4.0,0.25,4.0,20.0,4.0,20.0,,,1.0,2.0,,2.0,34:2,19.0,25.0,0.76,163.0,,1.0,22.0,,6.52,8.578947368421053,41.0,2.1578947368421053,,3.0,9.0,3.0,2.0,,31.0,,83.0,2.677419354838709,11.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,37.0,6.0,36.0,3.0,13.0,4.333333333333333,2.0,28.0,14.0,2.0,22.0,14.0,1.0,1.0,3.0,113.0,37.66666666666666,46.0,,,3.0,3.0,38.0,3.0,66.0,22.0,,31.0,,3.0,29.0,9.666666666666666,,23.0,
2023,FOOTBALL_XFL_2023_2_18_VGS@ARL,7,54.0,20.0,22.0,261.0,255.0,236.0,172.0,25.0,83.0,,13.0,13.0,,,0.2407407407407407,0.3611111111111111,,5.0,13.0,0.3846153846153846,,2.0,,8.0,52.0,5.0,27.0,3.0,25.0,3.0,3.0,3.0,58.0,25:58,22.0,36.0,0.6111111111111112,236.0,3.0,2.0,39.0,True,6.555555555555555,10.727272727272728,29.0,1.318181818181818,,3.0,13.0,4.333333333333333,3.0,,15.0,,25.0,1.6666666666666667,6.0,,,,,,,,,,,,,3.0,1.0,0.3333333333333333,2.0,1.0,0.5,1.0,,,,,,,,,,,,1.0,1.0,53.0,9.0,25.0,3.0,9.0,3.0,1.0,8.0,8.0,,8.0,6.0,1.0,,5.0,219.0,43.8,70.0,2.0,,1.0,,,6.0,132.0,22.0,,43.0,,1.0,17.0,17.0,,17.0,
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,6,75.0,18.0,22.0,331.0,177.0,280.0,93.0,51.0,84.0,,20.0,17.0,,3.0,0.2666666666666666,0.3035714285714285,0.1764705882352941,6.0,16.0,0.375,2.0,3.0,0.6666666666666666,4.0,31.0,3.0,25.0,1.0,6.0,3.0,2.0,2.0,30.0,35:30,36.0,56.0,0.6428571428571429,280.0,1.0,2.0,31.0,,5.0,7.777777777777778,64.0,1.7777777777777777,2.0,2.0,8.0,4.0,2.0,,17.0,1.0,51.0,3.0,13.0,True,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.5,,1.0,,1.0,1.0,1.0,2.0,1.0,35.0,4.0,21.0,,,,1.0,,,,,12.0,,,3.0,152.0,50.66666666666666,59.0,1.0,1.0,2.0,1.0,36.0,4.0,105.0,26.25,,30.0,,5.0,25.0,5.0,,9.0,1.0
2023,FOOTBALL_XFL_2023_2_19_SEA@DC,8,54.0,22.0,18.0,177.0,339.0,93.0,288.0,84.0,51.0,,12.0,5.0,1.0,6.0,0.2222222222222222,0.238095238095238,0.1818181818181818,5.0,13.0,0.3846153846153846,,1.0,,7.0,40.0,6.0,35.0,1.0,5.0,1.0,3.0,2.0,30.0,24:30,9.0,21.0,0.4285714285714285,93.0,,1.0,18.0,,4.428571428571429,10.333333333333334,14.0,1.5555555555555556,1.0,,,,,,33.0,2.0,84.0,2.5454545454545454,11.0,,,,,,,,,,,,,3.0,2.0,0.6666666666666666,1.0,1.0,1.0,2.0,1.0,0.5,,,,,,,,,,,,48.0,5.0,56.0,2.0,8.0,4.0,2.0,37.0,18.5,1.0,22.0,20.0,1.0,1.0,6.0,267.0,44.5,53.0,,2.0,,,,4.0,81.0,20.25,,24.0,,2.0,19.0,9.5,,10.0,
2023,FOOTBALL_XFL_2023_2_19_STL@SA,3,77.0,15.0,18.0,324.0,258.0,191.0,190.0,133.0,68.0,,24.0,12.0,1.0,11.0,0.3116883116883117,0.3333333333333333,0.282051282051282,9.0,16.0,0.5625,1.0,1.0,1.0,4.0,36.0,2.0,15.0,2.0,21.0,2.0,1.0,1.0,17.0,38:17,25.0,36.0,0.6944444444444444,191.0,1.0,1.0,24.0,,5.305555555555555,7.64,51.0,2.04,1.0,2.0,16.0,8.0,1.0,,39.0,,133.0,3.41025641025641,15.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,36.0,9.0,26.0,5.0,23.0,4.6,,,,,,8.0,1.0,,2.0,78.0,39.0,43.0,,1.0,4.0,3.0,48.0,3.0,67.0,22.33333333333333,,27.0,,5.0,38.0,7.6,,12.0,
2023,FOOTBALL_XFL_2023_2_19_STL@SA,5,46.0,18.0,15.0,235.0,340.0,167.0,207.0,68.0,133.0,,11.0,8.0,1.0,2.0,0.2391304347826087,0.3076923076923077,0.1333333333333333,3.0,10.0,0.3,1.0,2.0,0.5,6.0,35.0,3.0,20.0,3.0,15.0,,2.0,2.0,43.0,21:43,18.0,26.0,0.6923076923076923,167.0,2.0,,33.0,,6.423076923076923,9.27777777777778,22.0,1.2222222222222223,,5.0,23.0,4.6,3.0,,15.0,,68.0,4.533333333333333,40.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,65.0,8.0,36.0,2.0,16.0,8.0,1.0,,,,,11.0,1.0,1.0,5.0,240.0,48.0,53.0,,1.0,2.0,1.0,32.0,5.0,111.0,22.2,,29.0,,1.0,10.0,10.0,,10.0,1.0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
