Season,game_id,OfficialID,PlaysPerGame,Points,DefPointsAgainst,YardsPerGame,DefYardsAgainst,PassYardsPerGame,DefPassYardsAgainst,RushYardsPerGame,DefRushYardsAgainst,DriveStartYardlineAvg,FirstDowns,FirstDownsByPass,FirstDownsByPenalty,FirstDownsByRush,FirstDownPercent,FirstDownPercentOfPasses,FirstDownPercentOfRushes,ThirdDownConv,ThirdDownAtt,ThirdDownPercent,FourthDownConv,FourthDownAtt,FourthDownPercent,Penalties,PenaltyYards,PenaltiesOffensive,PenaltyYardsOffensive,PenaltiesDefensive,PenaltyYardsDefensive,Turnovers,TotalTD,OffTD,TOPSeconds,TOPStrfTime,PassComp,PassAtt,PassCompPercent,PassYards,PassTD,PassINT,PassYardsLong,PassYardsLongTD,PassYardsPerAtt,PassYardsPerComp,PassYardsAfterCatch,PassYardsAfterCatchAvg,RecDropped,Sacked,SackedYards,SackedYardsAvg,Pass20YdPlays,Pass40YdPlays,RushAtt,RushTD,RushYards,RushYardsAvg,RushYardsLong,RushYardsLongTD,Rush20YdPlays,Rush40YdPlays,PAT1PtAtt,PAT1PtConv,PAT1PtPct,PAT1PtAttPass,PAT1PtConvPass,PAT1PtPctPass,PAT1PtAttRush,PAT1PtConvRush,PAT1PtPctRush,PAT2PtAtt,PAT2PtConv,PAT2PtPct,PAT2PtAttPass,PAT2PtConvPass,PAT2PtPctPass,PAT2PtAttRush,PAT2PtConvRush,PAT2PtPctRush,PAT3PtAtt,PAT3PtConv,PAT3PtPct,PAT3PtConvPass,PAT3PtAttPass,PAT3PtPctPass,PAT3PtConvRush,PAT3PtAttRush,PAT3PtPctRush,Fumbles,FumblesLost,DefTackles,DefTacklesForLoss,DefQBHits,DefSacks,DefSackYards,DefSackYardsAvg,DefINT,DefINTReturnYards,DefINTReturnYardsAvg,DefINTReturnTD,DefINTReturnYardsLong,DefPassesDefended,DefFumblesForced,DefFumblesRecovered,Punts,PuntGrossYards,PuntGrossYardsAvg,PuntGrossYardsLong,PuntTouchbacks,PuntInside20,FGAtt,FGMade,FGLong,KickRetReturns,KickRetYards,KickRetYardsAvg,KickRetTD,KickRetYardsLong,KickRetFairCatches,PuntRetReturns,PuntRetYards,PuntRetYardsAvg,PuntRetTD,PuntRetYardsLong,PuntRetFairCatches
2023,FOOTBALL_XFL_2023_3_11_HOU@ORL,2,50.0,44,16,381.0,368,286.0,286,95.0,82,,18,10,1,7,0.36,0.303030303030303,0.4666666666666667,5,10,0.5,0,0,0.0,9,62,3,20,6,42,0,7,6,33.0,28:33,27,33,0.8181818181818182,286,4,0,59,1,8.666666666666666,10.592592592592592,76,2.814814814814815,5,2,16,8.0,4,3,15,2,95,6.333333333333333,26,0,2,0,0,0,0.0,0,0,0.0,0,0,0.0,7,1,0.1428571428571428,5,1,0.2,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,40.0,5.0,34,4.0,19.0,4.75,0,0,0.0,0,0,15,1,2,5,221,44.2,48,0,1,0,0,0,4,97,24.25,0,41,0,3,35.0,11.666666666666666,0,16,1
2023,FOOTBALL_XFL_2023_3_11_HOU@ORL,4,59.0,16,44,349.0,397,267.0,302,82.0,95,,16,9,2,5,0.2711864406779661,0.2647058823529412,0.238095238095238,5,13,0.3846153846153846,0,2,0.0,13,102,6,42,7,60,2,2,2,27.0,31:27,19,34,0.5588235294117647,267,2,0,81,1,7.852941176470588,14.052631578947368,94,4.947368421052632,4,4,19,4.75,3,1,21,0,82,3.9047619047619047,14,0,0,0,1,1,1.0,1,1,1.0,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,36.0,2.0,33,2.0,16.0,8.0,0,0,0.0,0,0,6,0,0,5,228,45.6,58,0,2,1,1,33,6,105,17.5,0,24,0,5,64.0,12.8,0,24,0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,1,16.0,3,3,89.0,-1,52.0,0,37.0,-1,,6,3,0,3,0.375,0.3333333333333333,0.4285714285714285,1,3,0.3333333333333333,0,0,0.0,2,30,2,30,0,0,1,0,0,55.0,9:55,5,9,0.5555555555555556,52,0,0,18,0,5.777777777777778,10.4,0,0.0,1,0,0,0.0,0,0,7,0,37,5.285714285714286,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,3.0,2.0,4,0.0,0.0,0.0,0,0,0.0,0,0,4,0,0,1,38,38.0,38,0,0,1,1,23,1,22,22.0,0,22,0,1,-8.0,-8.0,0,-8,0
2023,FOOTBALL_XFL_2023_4_8_ARL@ORL,4,7.0,3,3,-1.0,89,0.0,52,-1.0,37,,0,0,0,0,0.0,0.0,0.0,0,2,0.0,0,0,0.0,1,15,0,0,1,15,0,0,0,42.0,3:42,0,4,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,3,0,-1,-0.3333333333333333,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,12.0,0.0,9,0.0,0.0,0.0,0,0,0.0,0,0,4,0,1,1,52,52.0,52,0,1,1,1,24,1,30,30.0,0,30,0,1,5.0,5.0,0,5,0
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,7,48.0,6,18,182.0,338,91.0,109,91.0,229,,9,7,0,2,0.1875,0.3043478260869565,0.0952380952380952,4,13,0.3076923076923077,1,2,0.5,7,45,6,30,1,15,1,1,1,52.0,29:52,12,23,0.5217391304347826,91,0,0,24,0,3.9565217391304346,7.583333333333333,94,7.833333333333333,0,4,12,3.0,1,0,21,1,91,4.333333333333333,25,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,49.0,5.0,25,2.0,3.0,1.5,0,0,0.0,0,0,13,1,3,6,228,38.0,49,0,1,2,0,0,2,23,11.5,0,17,0,1,1.0,1.0,0,1,2
2023,FOOTBALL_XFL_2023_2_25_DC@VGS,8,69.0,18,6,335.0,194,106.0,103,229.0,91,,23,7,1,15,0.3333333333333333,0.28,0.3571428571428571,8,15,0.5333333333333333,1,1,1.0,3,20,2,15,1,5,3,2,2,46.0,47:46,12,25,0.48,106,0,0,15,0,4.24,8.833333333333334,2,0.1666666666666666,1,2,3,1.5,0,0,42,2,229,5.4523809523809526,29,0,2,0,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,36.0,5.0,23,4.0,12.0,3.0,0,0,0.0,0,0,11,1,1,3,100,33.333333333333336,43,0,2,1,1,47,1,16,16.0,0,16,0,3,18.0,6.0,0,10,3
2023,FOOTBALL_XFL_2023_4_1_SA@VGS,3,57.0,12,26,206.0,354,176.0,264,30.0,90,,16,9,4,3,0.2807017543859649,0.2432432432432432,0.1875,2,11,0.1818181818181818,2,4,0.5,8,64,6,46,2,18,3,2,1,41.0,24:41,24,37,0.6486486486486487,176,1,1,23,0,4.756756756756757,7.333333333333333,0,0.0,1,4,35,8.75,3,0,16,0,30,1.875,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,48.0,10.0,31,3.0,18.0,6.0,0,0,0.0,0,0,10,1,0,4,214,53.5,72,2,0,0,0,0,5,143,28.6,1,96,0,4,38.0,9.5,0,21,1
2023,FOOTBALL_XFL_2023_4_1_SA@VGS,7,63.0,26,12,336.0,241,246.0,211,90.0,30,,17,11,1,5,0.2698412698412698,0.3548387096774194,0.1724137931034483,8,16,0.5,1,1,1.0,12,158,7,60,5,98,0,3,3,19.0,35:19,21,31,0.6774193548387096,246,2,0,33,1,7.935483870967742,11.714285714285714,0,0.0,1,3,18,6.0,7,0,29,1,90,3.103448275862069,11,0,0,0,1,1,1.0,1,1,1.0,0,0,0.0,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,42.0,5.0,37,4.0,35.0,8.75,1,22,22.0,0,22,13,2,2,5,198,39.6,45,0,1,2,1,39,3,65,21.666666666666668,0,27,0,1,12.0,12.0,0,12,0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,2,49.0,26,37,360.0,365,288.0,249,72.0,116,,16,8,2,6,0.3265306122448979,0.2857142857142857,0.3157894736842105,6,11,0.5454545454545454,0,1,0.0,12,100,3,27,9,73,1,4,4,57.0,25:57,18,28,0.6428571428571429,288,1,1,85,1,10.285714285714286,16.0,93,5.166666666666667,0,2,17,8.5,4,1,19,3,72,3.789473684210526,18,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,1,0.5,2,1,0.5,0,0,0.0,2,0,0.0,0,2,0.0,0,0,0.0,1,0,45.0,4.0,32,1.0,9.0,9.0,0,0,0.0,0,0,12,0,0,4,172,43.0,49,0,1,0,0,0,8,197,24.625,0,35,0,1,19.0,19.0,0,19,0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,8,63.0,37,26,356.0,377,240.0,305,116.0,72,,27,14,8,5,0.4285714285714285,0.4375,0.1666666666666666,6,12,0.5,0,0,0.0,3,30,1,15,2,15,0,4,3,3.0,34:3,20,32,0.625,240,2,0,36,0,7.5,12.0,80,4.0,2,1,9,9.0,4,0,30,1,116,3.8666666666666663,30,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,4,2,0.5,3,2,0.6666666666666666,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,34.0,4.0,28,2.0,17.0,8.5,1,40,40.0,1,40,10,0,0,1,63,63.0,63,0,0,4,3,50,4,73,18.25,0,23,0,4,49.0,12.25,0,20,0
