draft_year,draft_section,draft_section_name,overall_draft_pick,draft_section_pick,draft_section_round,draft_team_name,player_id,player_first_name,player_last_name,player_photo_url,player_position,player_last_team
2023,1,Offensive Skill,1,1,1,D.C. Defenders,21427,Abram,Smith,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Abram_Smith_21427.png,RB,Baylor
2023,1,Offensive Skill,2,2,1,St. Louis Battlehawks,20058,Marcell,Ateman,,WR,Oklahoma St
2023,1,Offensive Skill,3,3,1,San Antonio Brahmas,21196,Jacques,Patrick,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jacques_Patrick_21196.png,RB,Florida St
2023,1,Offensive Skill,4,4,1,Orlando Guardians,22018,Charleston,Rambo,,WR,Miami
2023,1,Offensive Skill,5,5,1,Vegas Vipers,20218,Martavis,Bryant,,WR,Clemson
2023,1,Offensive Skill,6,6,1,Seattle Sea Dragons,21393,Kevin,Shaa,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kevin_Shaa_21393.png,WR,Liberty
2023,1,Offensive Skill,7,7,1,Arlington Renegades,22030,Sal,Cannella,,TE,Auburn
2023,1,Offensive Skill,8,8,1,Houston Roughnecks,20889,Adrian,Killins,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Adrian_Killins_20889.png,RB,Central Florida
2023,1,Offensive Skill,9,9,2,Houston Roughnecks,21173,Garrett,Owens,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Garrett_Owens_21173.png,TE,Duquesne
2023,1,Offensive Skill,10,10,2,Arlington Renegades,21971,De'Montre,Tuggle,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Demontre_Tuggle_21971.png,RB,Ohio
2023,1,Offensive Skill,11,11,2,Seattle Sea Dragons,20620,T.J.,Hammonds,,RB,Arkansas
2023,1,Offensive Skill,12,12,2,Vegas Vipers,21872,John,Lovett,,RB,Penn St
2023,1,Offensive Skill,13,13,2,Orlando Guardians,20783,Andrew,Jamiel,,WR,Stonehill
2023,1,Offensive Skill,14,14,2,San Antonio Brahmas,21581,Calvin,Turner,,RB,Hawaii
2023,1,Offensive Skill,15,15,2,St. Louis Battlehawks,21781,Jamarcus,Bradley,,WR,Louisiana-Lafayette
2023,1,Offensive Skill,16,16,2,D.C. Defenders,21933,Jequez,Ezzard,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jequez_Ezzard_21933.png,WR,Sam Houston St
2023,1,Offensive Skill,17,17,3,D.C. Defenders,20257,K.D.,Cannon,,WR,Baylor
2023,1,Offensive Skill,18,18,3,St. Louis Battlehawks,21439,Jaylen,Smith,,TE,Louisville
2023,1,Offensive Skill,19,19,3,San Antonio Brahmas,21334,Kendrick,Rogers,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kendrick_Rogers_21334.png,WR,Texas A&M
2023,1,Offensive Skill,20,20,3,Orlando Guardians,20599,Stephen,Guidry,,WR,Mississippi St
2023,1,Offensive Skill,21,21,3,Vegas Vipers,20392,Brandon,Dillon,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Dillon_20392.png,TE,Marian
2023,1,Offensive Skill,22,22,3,Seattle Sea Dragons,22035,Juwan,Green,,WR,New York St-Albany
